FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171538,171538,POINT (16.31944641221584 48.12574696929981),RS10,Radservicestation,Bahnhof Vösendorf/Siebenhirten,2334,https://www.oeamtc.at/,16.31944641,48.1257469,Werkzeug,Aktiv,ÖAMTC,,
RADSERVICEOGD.171539,171539,POINT (16.35135591268365 48.19701316962625),RS11,Radservicestation,Amerlingstraße 6,1060,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.35135591,48.1970131,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171540,171540,POINT (16.342132811918745 48.207754769422905),RS12,Radservicestation,Ceija-Stojka-Platz/Mentergasse,1070,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.34213281,48.2077547,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171541,171541,POINT (16.35890411293398 48.23388336976179),RS13,Radservicestation,Nordbergbrücke beim Bahnhof Spittelau,1090,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.35890411,48.2338833,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171542,171542,POINT (16.338214912007054 48.197310270077814),RS14,Radservicestation,Europaplatz beim Westbahnhof,1150,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.33821491,48.1973102,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171543,171543,POINT (16.40888786506885 48.213209383542555),RS15,Radservicestation,bei der Fahrradgarage des LC: Library & Learning C,1020,https://www.wu.ac.at/,16.40888786,48.21320932,Werkzeug,Aktiv,WU Wien,,
RADSERVICEOGD.171544,171544,POINT (16.454190813219302 48.22495876967906),S01,Schlauchautomat,Langobardenstraße 19,1220,https://2rad-shop.at/,16.45419081,48.2249587,Schlauchautomat,Aktiv,2rad-shop Gerhardt,,
RADSERVICEOGD.171545,171545,POINT (16.361007912829443 48.2347994700591),S02,Schlauchautomat,Spittelauer Lände 12,1090,https://www.bikers.wien/,16.36100791,48.2347994,Schlauchautomat,Aktiv,Bikers,,
RADSERVICEOGD.171546,171546,POINT (16.346876765081138 48.19098817081506),S03,Schlauchautomat,Gumpendorfer Straße 111,1060,https://www.fahrrad.co.at/,16.34687676,48.1909881,Schlauchautomat,Aktiv,Cooperative Fahrrad,,
RADSERVICEOGD.171547,171547,POINT (16.38398011211764 48.237589269791),S04,Schlauchautomat,Leystraße 75,1200,http://www.fahrradtrappl.at/,16.38398011,48.2375892,Schlauchautomat,Aktiv,Fahrrad Trappl,,
RADSERVICEOGD.171549,171549,POINT (16.346706289613465 48.18739076708126),S06,Schlauchautomat,Am Hundsturm 1,1050,https://heavypedals.at/,16.34670628,48.1873907,Schlauchautomat,Aktiv,Heavy Pedals,,
